Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH ANH KHANG 133,4800937303,,0829548685,,Chi cục Thuế Thành phố Cao Bằng,,,,
CÔNG TY TNHH GIẤY BỘT VÀ CHẤT ĐÚC CAO BẰNG,4800937328,,0928632970,,Chi cục Thuế khu vực Hòa An - Hà Quảng,,,,
CÔNG TY TNHH XÂY DỰNG HƯNG VUI,4800937310,,0989216216,,Chi cục Thuế Huyện Bảo Lạc,,,,
CHI NHÁNH CAO BẰNG CÔNG TY TNHH DỊCH VỤ KỸ THUẬT ĐẠI DƯƠNG,4601562064-001,,0338777000,,Chi cục Thuế Thành phố Cao Bằng,,,,
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI TH PRINT,TH PRINT INVESTMENT AND TRADING COMPANY LIMITED,4800937335,"Số nhà 015, tổ 1, Phường Sông Hiến, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG THỊ HÀI,0832996288,2024-07-23,Chi cục Thuế Thành phố Cao Bằng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CHI NHÁNH CAO BẰNG - CÔNG TY CP DI CHUYỂN XANH ĐÔNG BẮC,4900900201-001,,0828789866,,Chi cục Thuế Thành phố Cao Bằng,,,,
DOANH NGHIỆP TƯ NHÂN THIÊN AN COMPUTER CAO BẰNG,DNTN THIÊN AN COMPUTER CB,"Số 87 Tổ 10 Phường Sông Bằng Thành Phố Cao Bằng, Phường Sông Bằng, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",,,2024-07-25,Chi cục Thuế Thành phố Cao Bằng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TRẮC ĐỊA BẢN ĐỒ BẮC VIỆT,4800937367,,0838088366,,Cục Thuế Tỉnh Cao Bằng,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN GIA HUY CAO BẰNG,CÔNG TY TNHH GIA HUY CAO BẰNG,"Xóm Pò Rịn, Thị Trấn Hòa Thuận, Huyện Quảng Hòa, Tỉnh Cao Bằng, Việt Nam",,,2024-08-02,Chi cục Thuế huyện Quảng Hòa,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DỊCH VỤ THIÊN AN PHÁT TÀI,4800937374,,0778359627,,Chi cục Thuế Thành phố Cao Bằng,,,,
CÔNG TY TNHH XUẤT NHẬP KHẨU B2C2A,B2C2A IMPORT EXPORT COMPANY LIMITED,4800937381,"Xóm Cốc Lùng, Xã Đức Long, Huyện Hoà An, Tỉnh Cao Bằng, Việt Nam",ĐẶNG ANH DŨNG,0833274055,2024-08-01,Chi cục Thuế khu vực Hòa An - Hà Quảng,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CP ĐẦU TƯ VẬT LIỆU XÂY DỰNG VẠN LỘC,4800937409,,0972707939,,Cục Thuế Tỉnh Cao Bằng,,,,
CÔNG TY TNHH LONG THÀNH LT,4800937416,,0976032666,,Chi cục Thuế Thành phố Cao Bằng,,,,
CÔNG TY TNHH TƯ VẤN KIỂM ĐỊNH VÀ XÂY DỰNG CÔNG TRÌNH 811,CÔNG TY TNHH TVKĐ VÀ XD CÔNG TRÌNH 811,"Số nhà 026, Tổ 1, Phường Sông Hiến, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",,,2024-08-09,Chi cục Thuế Thành phố Cao Bằng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ TRUYỀN THÔNG CBH,CBH TRADING AND COMMUNICATIONS COMPANY LIMITED,4800937430,"Tổ 6, Phường Hoà Chung, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",HÀ KIM CƯƠNG,0986 833 838,2024-08-09,Chi cục Thuế Thành phố Cao Bằng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN CÔNG NGHIỆP KHOÁNG SẢN CAO BẰNG,CAO BANG INDUSTRY MINERAL JOINT STOCK COMPANY,"Số nhà 31, Tổ 5, Phường Đề Thám, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",,,2024-08-15,Cục Thuế Tỉnh Cao Bằng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH PHÚ NÔNG CAO BẰNG,4800937455,,0914523666,,Chi cục Thuế huyện Quảng Hòa,,,,
​CHI NHÁNH CAO BẰNG – CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ FGF,0110771284-006,,094 9365682,,Cục Thuế Tỉnh Cao Bằng,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH KYOWON THE ORM VIỆT NAM TẠI CAO BẰNG,0315072054-024,,0968647881,,Cục Thuế Tỉnh Cao Bằng,,,,
CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ DỊCH VỤ AN THỊNH PHÁT,CÔNG TY TNHH TM ĐT DV AN THỊNH PHÁT,"Xóm Hồng Quang 1, Xã Hưng Đạo, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",,,2024-08-30,Chi cục Thuế Thành phố Cao Bằng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN TRUNG TÂM DỮ LIỆU QUỐC TẾ ĐÀ NẴNG,DA NANG INTERNATIONAL DATA CENTER JOINT STOCK COMPANY,"số nhà 8, Nam Sơn 3, Phường Hoà Cường Bắc, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",,,2024-09-04,Cục Thuế TP Đà Nẵng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TOURISM & EXPORT ĐỖ CƯỜNG,TOURISM & EXPORT DO CUONG COMPANY LIMITED,"18 đường Đoàn Hữu Trưng, Phường Hoà An, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",,,2024-09-04,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH SSADA VIETNAM DANANG,SSADA VIETNAM DANANG COMPANY LIMITED,0402247529,"K25/4 Nguyễn Trọng Nghĩa, Phường Mân Thái, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",KIM WONHYO,081 696 8540,2024-09-04,Chi cục Thuế khu vực Sơn Trà - Ngũ Hành Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DV GIA VĨNH,0402247536,,0903520601,,Chi cục Thuế khu vực Sơn Trà - Ngũ Hành Sơn,,,,
CÔNG TY TNHH LÂN SƯ RỒNG TỨ CÂU ĐÀ NẴNG,0402247543,,0902424354,,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,,,,
CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ XÂY DỰNG HOÀNG KIM,HOANG KIM CONSTRUCTION AND IMPORT EXPORT COMPANY LIMITED,"201 đường Nguyễn Phước Lan, Phường Hoà Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",,,2024-09-04,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH ANH TUỆ LÂM,0402247582,,0935627288,,Chi cục Thuế khu vực Thanh Khê - Liên Chiểu,,,,
CÔNG TY TNHH ĐƯỜNG SÁCH ĐÀ NẴNG,DA NANG BOOK ROAD COMPANY LIMITED,0402247487,"Số 01, Đường đi bộ cầu Nguyễn Văn Trỗi, Phường An Hải Tây, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",HOÀNG THỊ THÚY,0867867882,2024-09-04,Chi cục Thuế khu vực Sơn Trà - Ngũ Hành Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH CÔNG NGHỆ DỊCH VỤ VẬN TẢI BGL,BGL TRANSPORTATION SERVICE TECHNOLOGY COMPANY LIMITED,"73 Đường Vũ Đình Liên, Phường Hoà Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",,,2024-09-05,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT CƠ KHÍ TNT,0402247649,,0934757536,,Chi cục Thuế khu vực Thanh Khê - Liên Chiểu,,,,
CÔNG TY TNHH DỊCH VỤ HƯNG THẠNH PHÁT,0402247617,,0903318168,,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,,,,
CÔNG TY TNHH TÀU THUYỀN ĐÔNG DƯƠNG,0402247631,,0979500577,,Chi cục Thuế khu vực Thanh Khê - Liên Chiểu,,,,
CÔNG TY TNHH WUKONG SOFTWARE,WUKONG SOFTWARE LIMITED COMPANY,"Phòng 203, Tòa nhà UST Tower, 637-639 Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Thành phố Đà Nẵng, Việt Nam",,,2024-09-05,Cục Thuế TP Đà Nẵng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ MISU,MISU SERVICE TRADE COMPANY LIMITED,0402247688,"75 Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",TRẦN MINH TUẤN,,,,,
CÔNG TY TNHH TƯ VẤN GIẢI PHÁP THIẾT KẾ VÀ XÂY DỰNG DP-HOME,DP-HOME DESIGN AND CONSTRUCTION SOLUTION CONSULTING COMPANY LIMITED,0402247670,"99 Đô Đốc Lộc, Phường Hoà Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",TRẦN QUANG DU,,,,,
"CÔNG TY TNHH THƯƠNG MẠI & NỘI THẤT, QUẢNG CÁO ĐĂNG THÀNH","DANG THANH TRADING & INTERIOR, ADVERTISING COMPANY LIMITED",0402247705,"Số 20 Dương Bá Trạc, Phường Hoà Cường Nam, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",NGUYỄN VĂN VŨ,,,,,
CÔNG TY TNHH ĐẠI GIA VŨ,0402247624,,,,,,,,
CÔNG TY TNHH MTV TIN HỌC SAHARA83,0402247712,,,,,,,,
CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM RETECH,RETECH SOFTWARE TECHNOLOGY COMPANY LIMITED,0402247776,"110B Nguyễn Hữu Thọ, Phường Hoà Thuận Tây, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",LÊ VĂN KHANH,,,,,
CÔNG TY TNHH VIỆT HƯNG ĐÀ NẴNG,VIET HUNG DANANG COMPANY LIMITED,0402247695,"01 Nguyễn Xuân Hữu, Phường Hoà Thọ Đông, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",HUỲNH VĂN HƯNG,,,,,
CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG XT BSET,XT BSET TECHNOLOGY AND MEDIA COMPANY LIMITED,0402247751,"Số 111, Lô 90 Khu B2-3,Khu đô thị Xanh Bàu Tràm Lakeside,đường Trung Lập 17, Phường Hoà Hiệp Nam, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam",NGUYỄN VĂN TUẤN,,,,,
CÔNG TY TNHH THƯƠNG MẠI KINH DOANH HỎA LONG,0402247744,,,,,,,,
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ XÂY DỰNG QUẢNG ĐÀ,QUANG DA CONSTRUCTION AND TRADING INVESTMENT COMPANY LIMITED,0402247769,"91 Huỳnh Tấn Phát, Phường Hoà Cường Bắc, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",NGUYỄN HỒNG HÀ,,,,,
CÔNG TY TNHH TRANG SỨC NGỌC HỒNG,0402247783,,,,,,,,
CÔNG TY TNHH TRUNG TÂM ĐÀO TẠO HUẤN LUYỆN VIÊN YOGA PILATES KIM DUNG,0402247737,,,,,,,,
CÔNG TY TNHH VON NGUYỄN,6001776325,,0836739316,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH NADEX VIỆT NAM,NADEX VIET NAM COMPANY LIMITED,6001776283,"Số 57 Ôi Ẩt, Phường Ea Tam, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",NGUYỄN MẠNH HÙNG,0905338000,2024-08-29,Chi cục Thuế Thành phố Buôn Ma Thuột,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XUẤT NHẬP KHẨU TDV,TDV IMPORT AND EXPORT COMPANY LIMITED,6001776364,"01 Hùng Vương, Phường Tự An, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",ĐÀM QUANG HỮU,02626339999,2024-08-30,Chi cục Thuế Thành phố Buôn Ma Thuột,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XUẤT NHẬP KHẨU NÔNG SẢN TÂM DUYÊN,TAM DUYEN AGRICULTURAL IMPORT-EXPORT COMPANY LIMITED,6001776357,"Số 24-26 Nguyễn Lương Bằng, Thị Trấn Phước An, Huyện Krông Pắc, Tỉnh Đắk Lắk, Việt Nam",NGUYỄN THỊ MỸ DUYÊN,0971596659,2024-08-30,Chi cục Thuế Huyện Krông Pắk,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH TƯ VẤN XÂY DỰNG KỸ THUẬT GIA AN,6001776371,,0986646268,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH Ô TÔ OMODA & JAECOO BUÔN MA THUỘT,OMODA & JAECOO BUON MA THUOT AUTOMOBILE COMPANY LIMITED,6001776389,"04 Đoàn Khuê, Phường Tân An, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",LÊ ĐÌNH HIỀN,0949415999,2024-09-04,Chi cục Thuế Thành phố Buôn Ma Thuột,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV XÂY DỰNG VÀ XNK VINH QUANG,6001776332,,0585896664,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH MTV TÂN VĂN SỸ,6001776396,,0982 597 722,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH THƯƠNG MẠI DV PHƯƠNG TÚ 89,PHUONG TU 89 DV TRADING COMPANY LIMITED,6001776491,"234 Nguyễn Tất Thành, Thị Trấn Krông Năng, Huyện Krông Năng, Tỉnh Đắk Lắk, Việt Nam",DƯƠNG THỊ PHƯƠNG,0379899440,2024-09-05,Cục Thuế Tỉnh Đắk Lắk,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THIẾT KẾ - XÂY DỰNG TÀI LỘC PHÁT,6001776484,,0931880881,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH DỊCH VỤ LOGISTICS DUY TÂN,6001776519,,,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠI CÁT VIỆT NAM,6001776501,,,,,,,,
CÔNG TY TNHH LUX MEDIA,6001776452,,0947493879,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
DOANH NGHIỆP TƯ NHÂN KINH DOANH VÀNG BẠC KIM THÀNH PHÁT,6001776445,,0377720698,,Chi cục Thuế Huyện Krông Pắk,,,,
CÔNG TY TNHH TM GIA ANH,6001776413,,0913045779,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH HUY KIM PHÁT,6001776420,,0332809067,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH THƯƠNG MẠI KHANG AN PHÁT,KHANG AN PHAT TRADING COMPANY LIMITED,6001776438,"Số nhà 130 Tân Lập, Thôn Tân Lập, Xã Ea Yông, Huyện Krông Pắc, Tỉnh Đắk Lắk, Việt Nam",BÙI DUY HƯNG,0934805509,2024-09-05,Chi cục Thuế Huyện Krông Pắk,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN TRUNG THẠCH,6001776406,,0984 370 505,,Chi cục Thuế khu vực Ea Kar - M'ĐrắK,,,,
CÔNG TY TNHH THANH XUÂN VĨNH BMT,6001776477,,0942900933,,Chi cục Thuế Thành phố Buôn Ma Thuột,,,,
CÔNG TY TNHH EVANUS,EVANUS COMPANY LIMITED,"103 Hùng Vương, Phường Tự An, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",,,,,,,
CÔNG TY CỔ PHẦN SỨC KHOẺ TRÍ TUỆ GREEN LIFE VIỆT NAM,GREEN LIFE VIETNAM INTELLECTUAL HEALTH JOINT STOCK COMPANY,6001776572,"Số 36 Đường Vạn Xuân, Phường Tân Thành, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",LÊ THỊ NÊN,,,,,
CÔNG TY TNHH MTV TMDV NÔNG NGHIỆP VIỆT 001,6001776558,,,,,,,,
CÔNG TY TNHH TMDV TRẦN HOÀNG,6001776533,,,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN ĐỨC HUY PHÁT,CÔNG TY TNHH MTV ĐỨC HUY PHÁT,"244 thôn 4, Xã Ea Kao, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",,,,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN SX & DV THÀNH PHÁT,THANH PHAT SX & DV COMPANY LIMITED,6001776540,"Số 113/44/45 Đường Nguyễn Cơ Thạch, Phường Thành Nhất, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",NGUYỄN KHOA PHƯỢNG UYÊN,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIANG VINH,6400458772,,0349209999,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH MTV VÕ PHƯƠNG ĐẮK NÔNG,6400458797,,0905909292,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH MTV STL M&E,6400458814,,0825282929,,Chi cục Thuế khu vực Đắk Mil - Đắk Song,,,,
CÔNG TY CỔ PHẦN ĐĂK HOME,DAK HOME JOINT STOCK COMPANY,6400458807,"Số 110, Thôn Đức Hòa, Xã Thuận An, Huyện Đắk Mil, Tỉnh Đắk Nông, Việt Nam",PHAN QUỐC,0976159279,2024-08-08,Chi cục Thuế khu vực Đắk Mil - Đắk Song,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THỊNH - TRÍ - HIẾU,6400458821,,0903576955,,Chi cục Thuế khu vực Đắk R'Lấp - Tuy Đức,,,,
CÔNG TY TNHH VẬN TẢI CƯỜNG QUỐC 668,6400458839,,0961204567,,Chi cục Thuế khu vực Cư Jút - Krông Nô,,,,
CÔNG TY CỔ PHẦN NTV ĐẮK NÔNG,6400458846,,0978018837,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI ĐẠI THỊNH PHÁT,6400458860,,0909000045,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY CỔ PHẦN TÂY NGUYÊN AGRIBEE,6400458878,,0903565366,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH MTV DV TIN HỌC HÒA PHÁT,6400458885,,0976 762 890,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC HOÀ PHÁT,HOA PHAT EDUCATION DEVELOPMENT COMPANY LIMITED,6400458892,"Hẻm 24 Đường Nguyễn Chí Thanh, Xã Đắk Lao, Huyện Đắk Mil, Tỉnh Đắk Nông, Việt Nam",LƯU ĐÌNH HUỀ,0919369246,2024-08-14,Chi cục Thuế khu vực Đắk Mil - Đắk Song,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN XD-TM-DV NAM TRUNG NGUYÊN,NAM TRUNG NGUYEN XD-TM-DV JOINT STOCK COMPANY,6400458902,"Thôn Phú Cường, Xã Đắk Nang, Huyện Krông Nô, Tỉnh Đắk Nông, Việt Nam",TRẦN ĐỨC HƯNG,0327780969,2024-08-16,Chi cục Thuế khu vực Cư Jút - Krông Nô,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV XÂY DỰNG LÊ GIA PHÁT,CÔNG TY TNHH MTV XD LÊ GIA PHÁT,"24 Nơ Trang Long, Thị Trấn Kiến Đức, Huyện Đắk R'Lấp, Tỉnh Đắk Nông, Việt Nam",,,2024-08-16,Chi cục Thuế khu vực Đắk R'Lấp - Tuy Đức,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DV TM XNK THỊNH PHÁT ĐN,6400458941,,0977588334,,Chi cục Thuế khu vực Đắk R'Lấp - Tuy Đức,,,,
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ NÔNG LÂM NGHIỆP CÔNG NGHỆ CAO ĐẤT XANH MINH ĐỨC,CTY CP TM DV NLN CÔNG NGHỆ CAO ĐẤT XANH MINH ĐỨC,"Số 06, Đường Kim Đồng, TDP4, Phường Nghĩa Trung, Thành phố Gia Nghĩa, Tỉnh Đắk Nông, Việt Nam",,,2024-08-22,Cục Thuế Tỉnh Đắk Nông,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH A SÚY TÀ ĐÙNG,6400458980,,0702790888,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH GIÁO DỤC MẦM NON SAO MAI,6400458966,,0962348593,,Chi cục Thuế khu vực Đắk R'Lấp - Tuy Đức,,,,
CÔNG TY TNHH KIẾN TẠO ĐẮK NÔNG,6400458959,,0989441380,,Chi cục Thuế khu vực Đắk Mil - Đắk Song,,,,
CÔNG TY TNHH VÀNG BẠC QUỐC VƯƠNG,QUOC VUONG GOLD SILVER COMPANY LIMITED,"Thôn Xuyên Tân, Xã Đức Xuyên, Huyện Krông Nô, Tỉnh Đắk Nông, Việt Nam",,,2024-08-26,Chi cục Thuế khu vực Cư Jút - Krông Nô,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN THANH MAI ĐĂK NÔNG,6400459021,,0982710365,,Chi cục Thuế khu vực Đắk Mil - Đắk Song,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN GIÁO DỤC C&N ĐẮK NÔNG,C&N ĐẮK NÔNG EDUCATION COMPANY LIMITED,6400459014,"Bon Ka La Dơng, Xã Quảng Khê, Huyện Đắk Glong, Tỉnh Đắk Nông, Việt Nam",NGUYỄN ĐÌNH NGA,0855648555,2024-08-28,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN TRANG PHỤC BIỂU DIỄN THANH THỦY,6400459039,,0914546679,,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,,,
CÔNG TY TNHH TRUYỀN HÌNH PHÁT TRIỂN ĐỜI SỐNG VÀ LUẬT PHÁP - VĂN PHÒNG ĐẠI DIỆN KHU VỰC TÂY NGUYÊN,VĂN PHÒNG ĐẠI DIỆN KHU VỰC TÂY NGUYÊN,"Đường Phan Chu Trinh, Khối 5, Thị Trấn Kiến Đức, Huyện Đắk R'Lấp, Tỉnh Đắk Nông, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Đắk R'Lấp - Tuy Đức,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH NGỌC QUÂN HT,6400459053,,0935111991,,Chi cục Thuế khu vực Cư Jút - Krông Nô,,,,
CÔNG TY CỔ PHẦN DỊCH VỤ DU LỊCH NGHỈ DƯỠNG BT YOUR FARM ORGANIC,CTY CP DV DL NGHỈ DƯỠNG BT YOUR FARM ORGANIC,"Số 6, Đường Kim Đồng, TDP4, Phường Nghĩa Trung, Thành phố Gia Nghĩa, Tỉnh Đắk Nông, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Gia Nghĩa - Đắk Glong,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ LINH LAN,5600346351,,0904006723,,Chi cục Thuế khu vực Tuần Giáo - Tủa Chùa,,,,
CÔNG TY CỔ PHẦN MƯỜNG THANH GREEN,5600346369,,0916537035,,Chi cục Thuế Huyện Điện Biên,,,,
CÔNG TY TNHH T2D ĐIỆN BIÊN,5600346383,,0931650335,,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ DỊCH VỤ DUY HOÀNG ĐIỆN BIÊN,CÔNG TY TNHH TM VÀ DV DUY HOÀNG ĐIỆN BIÊN,"Thôn Hồng Cúm, Xã Thanh An, Huyện Điện Biên, Tỉnh Điện Biên, Việt Nam",,,2024-07-18,Chi cục Thuế Huyện Điện Biên,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH SƠN KHÔI ĐIỆN BIÊN,CTY TNHH SƠN KHÔI ĐIỆN BIÊN,"Số nhà 45A, Tổ dân phố 5, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-07-19,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH FS ĐIỆN BIÊN ĐÔNG,5600346400,,0844144333,,Chi cục Thuế Huyện Điện Biên Đông,,,,
CHI NHÁNH CÔNG TY TNHH HUY TOAN ĐIỆN BIÊN,5600157280-001,,0913 253133,,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,,,
CÔNG TY TNHH XD VÀ TM TUẤN AN ĐIỆN BIÊN,5600346418,,0833665999,,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,,,
CÔNG TY TNHH THƯƠNG MẠI DƯỢC MỸ PHẨM HMONG SK,HMONG SK COSMETICS AND PHARMACEUTICAL TRADING COMPANY LIMITED,5600346295,"Số nhà 27, Tổ dân phố 1, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",GIÀNG A CHUA,0387978175,2024-07-09,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
